Frame,ID,Zona
1,0,Centro-Izq
2,0,Centro-Izq
3,0,Centro-Izq
4,0,Centro-Izq
5,0,Centro-Izq
6,0,Centro-Izq
7,0,Centro-Izq
8,0,Centro-Izq
9,0,Centro-Izq
10,0,Centro-Izq
11,0,Centro-Izq
12,0,Centro-Izq
13,0,Centro-Izq
14,0,Centro-Izq
15,0,Centro-Izq
16,0,Centro-Izq
17,0,Centro-Izq
18,0,Centro-Izq
19,0,Centro-Izq
20,0,Centro-Izq
21,0,Centro-Izq
22,0,Centro-Izq
23,0,Centro-Izq
24,0,Centro-Izq
25,0,Centro-Izq
26,0,Centro-Izq
27,0,Centro-Izq
28,0,Centro-Izq
29,0,Centro-Izq
30,0,Centro-Izq
31,0,Centro-Izq
32,0,Centro-Izq
33,0,Centro-Izq
34,0,Centro-Der
35,0,Centro-Der
36,0,Centro-Der
37,0,Centro-Der
38,0,Centro-Der
39,0,Centro-Der
40,0,Centro-Der
41,0,Centro-Der
42,0,Centro-Der
43,11,Centro-Izq
44,11,Centro-Izq
45,11,Centro-Izq
47,11,Centro-Izq
48,11,Centro-Izq
49,11,Centro-Izq
50,8,Izquierda
51,8,Izquierda
52,8,Izquierda
53,8,Izquierda
54,8,Izquierda
55,8,Izquierda
56,8,Izquierda
57,8,Izquierda
58,0,Centro-Der
59,0,Centro-Der
60,0,Centro-Der
61,0,Centro-Der
62,13,Centro-Izq
63,13,Centro-Izq
64,13,Centro-Izq
65,13,Centro-Izq
66,13,Centro-Izq
67,13,Centro-Izq
68,13,Centro-Izq
69,13,Centro-Izq
70,13,Centro-Izq
71,13,Centro-Izq
72,13,Centro-Izq
73,13,Centro-Izq
74,13,Centro-Izq
75,13,Centro-Izq
76,13,Centro-Izq
77,13,Centro-Izq
78,13,Centro-Izq
79,13,Centro-Izq
80,13,Centro-Izq
81,13,Centro-Izq
82,13,Centro-Izq
83,13,Centro-Izq
84,13,Centro-Izq
85,13,Centro-Izq
86,13,Centro-Izq
87,13,Centro-Izq
88,13,Centro-Izq
89,13,Centro-Izq
90,13,Centro-Izq
91,13,Centro-Izq
92,13,Centro-Izq
93,13,Centro-Izq
94,13,Centro-Izq
95,13,Centro-Izq
96,13,Centro-Izq
97,13,Centro-Izq
98,13,Centro-Izq
99,13,Centro-Izq
100,13,Centro-Izq
101,13,Centro-Izq
102,13,Centro-Izq
103,14,Centro-Izq
104,14,Centro-Izq
105,14,Centro-Izq
106,14,Centro-Izq
107,14,Centro-Izq
108,14,Centro-Izq
109,14,Centro-Izq
110,14,Centro-Izq
111,14,Izquierda
112,14,Izquierda
113,13,Centro-Izq
114,14,Izquierda
116,13,Centro-Izq
118,13,Centro-Izq
134,15,Centro-Izq
139,14,Centro-Izq
142,15,Centro-Izq
145,14,Izquierda
149,15,Centro-Izq
167,15,Centro-Izq
174,15,Izquierda
175,15,Izquierda
176,15,Izquierda
177,15,Izquierda
178,15,Izquierda
179,15,Izquierda
180,15,Izquierda
190,15,Izquierda
191,15,Izquierda
192,15,Izquierda
206,16,Centro-Der
207,16,Centro-Der
208,16,Centro-Der
209,16,Centro-Der
210,16,Centro-Der
211,16,Centro-Der
212,16,Centro-Der
213,16,Derecha
214,16,Derecha
215,16,Derecha
216,16,Derecha
217,16,Derecha
218,16,Derecha
219,16,Derecha
220,16,Derecha
221,16,Derecha
222,16,Derecha
223,16,Derecha
224,16,Derecha
225,16,Derecha
226,16,Derecha
227,16,Derecha
228,16,Derecha
230,16,Derecha
231,16,Derecha
232,16,Derecha
233,16,Derecha
234,16,Derecha
235,16,Derecha
236,16,Derecha
237,16,Derecha
238,16,Derecha
239,16,Derecha
240,16,Derecha
241,16,Derecha
243,17,Centro-Der
244,17,Centro-Der
245,17,Centro-Der
246,16,Derecha
247,16,Derecha
248,16,Derecha
249,16,Derecha
250,16,Derecha
251,16,Derecha
252,16,Derecha
253,16,Derecha
254,16,Derecha
255,16,Derecha
257,17,Centro-Der
258,17,Centro-Der
259,17,Centro-Der
260,17,Centro-Der
261,17,Centro-Der
262,17,Centro-Der
263,17,Centro-Der
264,17,Centro-Der
265,17,Centro-Der
266,17,Centro-Der
267,17,Centro-Der
268,17,Centro-Der
269,17,Centro-Izq
270,17,Centro-Izq
271,17,Centro-Izq
272,17,Centro-Izq
273,16,Derecha
275,16,Derecha
280,17,Centro-Izq
281,17,Centro-Izq
282,17,Centro-Izq
283,17,Centro-Izq
284,17,Centro-Izq
285,17,Centro-Izq
286,17,Centro-Izq
287,17,Centro-Izq
288,17,Centro-Izq
289,17,Centro-Izq
290,17,Centro-Izq
291,17,Centro-Izq
292,17,Centro-Izq
293,17,Centro-Izq
294,17,Centro-Izq
295,17,Centro-Izq
296,17,Centro-Izq
297,17,Centro-Izq
298,17,Centro-Izq
299,17,Centro-Izq
300,17,Centro-Izq
301,17,Centro-Izq
302,17,Centro-Izq
303,17,Centro-Izq
304,17,Centro-Izq
305,17,Centro-Izq
306,17,Centro-Izq
307,17,Centro-Izq
308,17,Centro-Izq
309,17,Centro-Izq
310,17,Centro-Izq
311,17,Centro-Izq
312,17,Centro-Izq
313,17,Centro-Izq
314,17,Centro-Izq
315,17,Centro-Izq
316,17,Centro-Izq
317,17,Centro-Izq
318,17,Centro-Izq
319,18,Centro-Der
321,17,Centro-Izq
323,18,Centro-Der
324,17,Centro-Izq
325,17,Centro-Izq
326,17,Centro-Izq
327,17,Centro-Izq
328,17,Centro-Izq
329,17,Centro-Izq
330,17,Centro-Izq
331,17,Centro-Izq
332,17,Centro-Izq
333,17,Centro-Izq
334,17,Centro-Izq
335,17,Centro-Izq
337,19,Centro-Der
338,19,Centro-Der
339,18,Centro-Der
340,18,Centro-Der
341,18,Centro-Der
343,18,Centro-Der
345,19,Centro-Der
346,19,Centro-Der
347,19,Centro-Der
348,19,Centro-Der
349,20,Centro-Izq
350,21,Izquierda
359,22,Centro-Der
360,22,Centro-Der
361,23,Centro-Izq
367,22,Centro-Der
368,22,Centro-Der
371,22,Centro-Der
387,22,Centro-Der
388,22,Centro-Der
389,22,Centro-Der
390,22,Centro-Der
391,22,Centro-Der
392,22,Centro-Der
393,22,Centro-Der
394,22,Centro-Der
396,22,Centro-Der
397,22,Centro-Der
398,22,Centro-Der
399,22,Centro-Der
400,22,Centro-Der
401,22,Centro-Der
402,22,Centro-Der
403,22,Centro-Der
404,22,Centro-Der
405,22,Centro-Der
406,22,Centro-Der
407,22,Centro-Der
408,22,Centro-Der
409,22,Centro-Der
410,22,Centro-Der
411,22,Centro-Der
412,22,Centro-Der
413,22,Centro-Der
414,22,Centro-Der
415,22,Centro-Der
416,22,Centro-Der
417,22,Centro-Der
418,22,Centro-Der
419,22,Centro-Der
420,22,Centro-Der
421,22,Centro-Der
422,22,Centro-Der
423,22,Centro-Der
424,22,Centro-Der
425,22,Centro-Der
426,22,Centro-Der
427,22,Centro-Der
428,22,Centro-Der
429,22,Centro-Der
430,22,Centro-Der
431,22,Centro-Der
432,22,Centro-Der
433,22,Centro-Der
434,22,Centro-Izq
435,22,Centro-Izq
436,22,Centro-Izq
437,22,Centro-Izq
438,22,Centro-Izq
439,22,Centro-Izq
440,22,Centro-Izq
441,22,Centro-Izq
442,22,Centro-Izq
443,22,Centro-Izq
444,22,Centro-Izq
445,22,Centro-Izq
446,22,Centro-Izq
447,22,Centro-Izq
448,22,Centro-Izq
449,22,Centro-Izq
450,22,Centro-Izq
451,22,Centro-Izq
452,22,Centro-Izq
453,22,Centro-Izq
454,22,Centro-Izq
455,22,Centro-Izq
456,22,Centro-Izq
457,22,Centro-Izq
458,22,Centro-Izq
459,22,Centro-Izq
460,22,Centro-Izq
461,22,Centro-Izq
462,22,Centro-Izq
463,22,Centro-Izq
464,22,Centro-Izq
465,22,Centro-Izq
466,22,Centro-Izq
467,22,Centro-Izq
468,22,Centro-Izq
469,22,Centro-Izq
470,22,Centro-Izq
471,22,Centro-Izq
474,25,Centro-Izq
475,25,Centro-Izq
476,25,Centro-Izq
477,25,Centro-Izq
478,25,Centro-Izq
481,26,Centro-Izq
482,26,Centro-Izq
486,25,Centro-Izq
487,25,Centro-Izq
488,26,Centro-Izq
491,26,Centro-Izq
493,26,Centro-Izq
494,26,Centro-Izq
495,26,Centro-Izq
496,26,Centro-Izq
498,26,Centro-Izq
499,26,Centro-Izq
500,26,Centro-Izq
501,26,Centro-Izq
502,26,Centro-Izq
503,26,Centro-Izq
504,26,Centro-Izq
505,26,Centro-Izq
506,27,Izquierda
595,28,Centro-Der
596,28,Centro-Der
597,28,Centro-Der
599,28,Centro-Der
600,28,Centro-Der
601,28,Centro-Der
602,28,Centro-Der
603,28,Centro-Der
604,28,Centro-Der
605,28,Centro-Der
606,28,Centro-Der
607,28,Centro-Der
610,28,Centro-Der
611,28,Centro-Der
612,28,Centro-Der
613,28,Centro-Der
614,28,Centro-Der
615,28,Centro-Der
616,28,Centro-Der
617,28,Centro-Der
618,28,Centro-Der
619,28,Centro-Der
620,28,Centro-Der
621,28,Centro-Der
622,28,Centro-Der
623,28,Centro-Der
624,28,Centro-Der
625,28,Centro-Der
626,28,Centro-Der
627,28,Centro-Der
628,28,Centro-Der
629,28,Centro-Der
630,28,Centro-Der
631,28,Centro-Der
633,28,Centro-Der
634,28,Centro-Der
635,28,Centro-Der
636,28,Centro-Der
637,28,Centro-Der
638,28,Centro-Der
639,28,Centro-Izq
640,28,Centro-Izq
641,28,Centro-Izq
642,28,Centro-Izq
643,28,Centro-Izq
644,28,Centro-Izq
645,28,Centro-Izq
646,28,Centro-Izq
647,28,Centro-Izq
648,28,Centro-Izq
649,28,Centro-Izq
650,28,Centro-Izq
651,28,Centro-Izq
652,28,Centro-Izq
653,28,Centro-Izq
654,28,Centro-Izq
655,28,Centro-Izq
656,28,Centro-Izq
657,28,Centro-Izq
671,28,Centro-Der
672,28,Centro-Der
673,28,Centro-Der
674,28,Centro-Der
675,28,Centro-Der
676,28,Centro-Der
